Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10/17/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"On or about XX/XX/XXXX, a student loan was taken out in my name if the amount of {$4000.00}. The current amount owed on the loan is {$11000.00}, for XXXX XXXX XXXX XXXX XXXX This loan is a fraudulent loan and is not my loan. I have never attended XXXX XXXX XXXX XXXX and have no student affiliation with them. In XXXX I filed a XXXX  XXXX in the XXXX XXXXXXXX XXXX XXXX XXXX XXXXXXXX and all student loans were included in the filing to include this loan. Although the loan was not or is not dischargable it is still required to listed as a debt and is still subject to protection under the automatic stay. The XXXX  XXXX was XXXX in XXXX the same filing year. The only thing I knew at the time was that there was a loan serviced by Sallie Mae and I had no knowledge of this loan being tied to XXXX XXXX XXXX XXXX or XXXX. In XXXX I under false allegations from my now deceased ex husbands attorney was required to reopen my XXXX  XXXX and include certain parcels of real estate. This case was reopened on or about XXXX of XXXX and remained on the docket until XXXX of XXXX. Again all debts were listing to include this loan. Still having no knowledge of this institution for which this loan was obtained I assumed it was either for XXXX  XXXX XXXX or XXXX XXXX XXXX  where I actually did take classes and utilized student loans. During the course of the reopened XXXX  XXXX Navient now the serving agent of the loan continued to attempt to collect on the student loan and on numerous occasions was advised that the XXXX  XXXX was in place that this loan feel under the protection of the automatic stay and that they were in violation of the federal bankruptcy laws for attempting to collect on a debt included in a bankruptcy. Navient continued to report the loan past due and reported to the credit bureau this information and eventually dropping my credit score by the illegal and inaccurate information by XXXX points. Numerous contact was name with Navient and they refused to verify the bankruptcy information, refused to respond to cease and desist letters by my attorney and simply stated that they would not abide by the federal laws because they did not apply to them. All of the conversations are recorded and should be on file for verification. In XXXX of XXXX after an intense and accurate of XXXX documents provided to the bankruptcy court for a period of time covering approximately XXXX to XXXX it was determined that the XXXX XXXX was again a no asset distribution and was dismissed as such. In XXXX of XXXX I received a letter from XXXX  XXXX XXXX XXXX that they had paid Navient approximately {$11000.00} for this loan as Navient had reported to them that the loan was in default and XXXX paid to them the amount Navient advised was in default. I contacted XXXX and advised them that I was in a XXXX  XXXX from XXXX until XXXX of XXXX and they advised me on a number of occasions that they did not care. That they paid Navient that the loan was in default and that they were going to garnish my wages. Finally I reached out to the Ombudsman for XXXX XXXX XXXX on XX/XX/XXXX, and told her about the situation. Her words to me were that my account was a mess and that there were no student records for me at XXXX XXXX and that this loan money was supposed to be returned to XXXX XXXX XXXX many years ago. She had me fill out an unpaid refund application and email it back to her. She advised me that she was going to approve the refund and that it would be sent to XXXX XXXX XXXX  to be processed. At this time the form has not been received by XXXX of XXXX according to their records and this loan has not been refunded to XXXX XXXX XXXX. It is still outstanding. I was not aware until XXXX of this year that this loan was for XXXX XXXX. This loan is a fraud and this money was embezzled or used for something other than education for or by me. All of this years I was never advised that this loan was for alleged educational use at XXXX XXXX. I have never taken classes there and this loan in not a responsibility that I am willing to assume. This was a fraudulent conveyance of funds either to the university which I was advised was suppose to return the funds and didnt or by the servicer who at the time was Sallie Mae . This loan has devastated me financially and has damaged my credit and has put me in a hardship. Had I known it was a fraudulent loan when I filed the XXXX  XXXX in XXXX I would have filed it as such fraud as it is with the XXXX XXXX  XXXX. I have secured a court date of XX/XX/XXXX at XXXX in the XXXX XXXX XXXX XXXX XXXX  to file a motion to reopen my XXXX  XXXX and filed a motion for sanctions, motion to rule for show cause, and motion or fraud and or embezzlement if this matter is not cleared up and this loan removed from my name and off my credit report and these funds returned to the XXXX XXXX XXXX. I have also spoken with a consumer protection law firm and if this is not removed from my name will also be filed in the federal court for fraud and damages. This loan is not my loan. I did not take classes or benefit from the distribution of these funds/student loan and I will not be held responsible for a fraudulent loan. If necessary I will file a XXXX  XXXX and have this matter brought before the federal bankruptcy court by the attorney and will have sanctions and or fraud charges criminally brought before the court and an order by the court to return the funds. This matter is being taken very serious and I will by whatever means legally necessary file with the courts to see that all parties involved in this fraud are prosecuted to the fullest extent of the law.",None,"Navient Solutions, LLC.",VA,230XX,None,Consent provided,Web,10/17/24,Closed with explanation,Yes,N/A,10486001
09/27/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,"I received a private student loan from Navient in 2007. I took out this loan for a for-profit college that has closed due to unjust practices, misconduct, and lies pertaining to students future. Also, the amount has more than doubled of what I borrowed and I have paid on it at least five years.",None,"Navient Solutions, LLC.",AL,351XX,None,Consent provided,Web,09/27/24,Closed with explanation,Yes,N/A,10273613
07/27/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,"On XX/XX/year>, I submitted a School Misconduct Discharge application for my XXXX private loans associated with enrollment at XXXX XXXX XXXX XXXX XXXXXXXX and issued by Navient, formerly Sallie Mae. With this application I submitted substantiation to my claims related to federal and state litigation directly against Navient for loans lent on behalf of XXXX XXXX XXXX ( XXXX ) as well as litigation and settlements against XXXX in favor of federal and private student loan recipients. 

By XX/XX/year>, Navient acknowledged the receipt of my application. On XX/XX/year>, Navient replied to my application with a denied ruling on all three private loans associated with the application. For reasoning of this denial, Navient only provided this limited description, "" Navient carefully considers a variety of factors in determining whether a private loan should be discharged based on school misconduct and you do not meet the requirements for discharge based on misconduct by your school. '' All documentation provided for my claim related directly to misconduct enacted by Navient or XXXX XXXX XXXX ( XXXX ) and relates specifically to the period of my own enrollment at the school.",None,"Navient Solutions, LLC.",PA,XXXXX,None,Consent provided,Web,07/27/24,Closed with explanation,Yes,N/A,9639572
09/17/24,Student loan,Private student loan,Dealing with your lender or servicer,Co-signer,"I believe that Navient has used unfair business practices when servicing my loan. The loan was taken out XX/XX/year> for {$16000.00} through Sallie Mae and was transferred to Navient that added all interest owed to the principal. They stated that I was disqualified from the original interest rate reduction I had received under Sallie Mae, and my loan is currently in repay at 10 % interest ( variable ). The Unpaid principal on the loan is {$14000.00} even though the payments I have made when added up, cover the original amount borrowed. They have my total interest accrued on the loan to be {$16000.00} with a payoff date of XXXX/XXXX/XXXX. When I took out this loan it was supposed to be paid off in ten years. I have requested that my co-signer be released several times, in writing and submitting the required paperwork, but each time it is denied. I have met the requirements of XXXX consecutive payments, and they have no right to deny my cosigner being released. Navient changes terms on a whim with no recourse for the borrower.",None,"Navient Solutions, LLC.",TN,380XX,Servicemember,Consent provided,Web,09/17/24,Closed with explanation,Yes,N/A,10148512
09/13/24,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,"For over ten years Navient has been college loan service provider - see attached for loan information - Navient has added predatory interest and fees to the original loan - Navient has never offered a path to fairly resolve this loan - Navient has always offered forbearance - Navient has turned our loan over to XXXX for servicing as of XX/XX/year>, to avoid any responsibility and any solution based upon the recent CFPB ruling and fines. 
Loan is for over {$93000.00} - double the original loan amount.",None,"Navient Solutions, LLC.",MO,63090,Older American,Consent provided,Web,09/13/24,Closed with explanation,Yes,N/A,10114030
01/12/24,Student loan,Private student loan,Dealing with your lender or servicer,Keep getting calls about your loan,"XXXX, keeps calling my private cell phone number, my husband is the co signer on my sons XXXX loan. I dont know how they got my private celll number .This is harassment an another level. XXXX has no right to call my private cell phone number. ( XXXX ) XXXX",None,"Navient Solutions, LLC.",NY,11364,Older American,Consent provided,Web,01/18/24,Closed with explanation,Yes,N/A,8154182
05/06/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,"I am a XXXX XXXX  of XXXX XXXX XXXX in XXXX, MO. I attended from XXXX XXXX XXXX XXXX. In XX/XX/XXXX I received notice from the department of education that my Federal Student loans are being discharged for misconduct associated with XXXX XXXX XXXX. In XXXX I defaulted on XXXX private student loans associated with XXXX XXXX XXXX and serviced through Navient. Navient and subsequently through their associated collector XXXX XXXX, XXXX then proceeded to put me through what I believe were illegal collection activities. They called my phone nonstop, they called my parents phones nonstop, and they called my place of business nonstop ( this number was never provided to them for contact ), and they called extended family members nonstop. On top of this they also threatened legal action on these loans. Considering what has come to light about XXXX XXXX XXXX and their activities, and the fact that the Federal Loans associated with this institution are being discharged. I believe that these loans were settled in error and the situation should be rectified. If these loans were currently open, they would be subject to the current Navient Borrower Defense Discharge program for private loans. The full amount of these loans should be discharged, the full settlement amount of {$8100.00} should be refunded, and any payments made before default should be refunded ( as of this time Navient does not show what the payments before default are ). Also, I had a XXXX XXXX loan with Navient that was paid in full XX/XX/XXXX. This loan was subject to collection activities many times but never reached the level of default. Considering the above information, I believe this loan should also be subject to discharge and refund as well. The history of payments on these loans totals up to roughly {$18000.00}.",None,"Navient Solutions, LLC.",MO,63139,None,Consent provided,Web,05/06/24,Closed with explanation,Yes,N/A,8944089
06/12/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,"Navient via email and phone, I kindly requested a Borrower Defense Repayment Form, and for some reason, are misleading me and denying me to kindly email me, the form, On many occasions via phone and email, I requested and have made false claims, Last year I requested, and just yesterday, they keep saying I don't qualify,",None,"Navient Solutions, LLC.",NY,10025,None,Consent provided,Web,06/12/24,Closed with explanation,Yes,N/A,9238638
05/06/24,Student loan,Private student loan,Getting a loan,High pressure sales tactics or recruiting,"I took out private loans with then SallieMae which now is Navient for my time at the XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ) from XXXX for a XXXX XXXX As of recent news with The Biden administration announcing XX/XX/XXXX that the Department of Education ( ED ) would automatically forgive all remaining federal student debt for people who attended any XXXX XXXXXXXX XXXX between XXXX XXXX, XXXX, and XXXX XXXX, XXXX. Navient knew what type of schools they were going to be working with when they agreed to provide loan services for the XXXX XXXX and their parent company XXXX XXXX XXXX ( XXXX ). Investigations from these states found that the XXXX XXXX and former owner XXXX XXXX XXXX ( XXXX ) misrepresented job placement rates, post-graduation salaries, and job opportunities for graduates during a nearly 14-year period.

I have reached out to Navient before when XXXX  closed their doors late last year to have my loans discharged and they told me that since I was not enrolled at the time of closure I did not qualify. Currently on an income based payment plan so I didn't go into default but now as these companies are being exposed and found of the predatory tactics they used to feed off young individuals including veterans such as my self for profit and committing fraud against service members of the military. Here is my private loans listing from Navient as of today XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Current Owner NAVIENT XXXX XXXX XXXX Disbursement Date XX/XX/XXXX Original Principal {$14000.00} Currently Owe {$80000.00} XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Current Owner NAVIENT XXXX XXXX XXXX Disbursement Date XX/XX/XXXX Original Principal {$20000.00} Currently Owe {$72000.00}",None,"Navient Solutions, LLC.",FL,33714,Servicemember,Consent provided,Web,05/06/24,Closed with explanation,Yes,N/A,8942578
01/05/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Need information about your loan balance or loan terms,,None,"Navient Solutions, LLC.",MI,48197,None,Consent not provided,Web,01/05/24,Closed with explanation,Yes,N/A,8104616
