Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
09/26/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,,None,"Navient Solutions, LLC.",VA,20136,Servicemember,Consent not provided,Web,09/26/24,Closed with explanation,Yes,N/A,10261261
09/18/24,Student loan,Private student loan,Dealing with your lender or servicer,Need information about your loan balance or loan terms,"On XX/XX/year> I sent in the application for school conduct discharge and on XX/XX/year> I was denied. I was not able to contact a live person until about the XXXX due to playing phone tag and my phone registering their number as spam, once I was able to talk to a live person she was not able to tell me the reason why I was denied the discharge giving me a reason something to the effect of using a proprietary formula to determine outcomes.",None,"Navient Solutions, LLC.",MT,59601,None,Consent provided,Web,09/18/24,Closed with explanation,Yes,N/A,10161951
04/16/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,,None,"Navient Solutions, LLC.",OH,43469,None,Consent not provided,Web,04/16/24,Closed with explanation,Yes,N/A,8782394
06/26/24,Student loan,Private student loan,Dealing with your lender or servicer,Need information about your loan balance or loan terms,"I attended XXXX of XXXX XXXX XXXX and the US Department of Education determined that my federal loans will be discharged do to the misconduct of XXXX XXXXXXXX XXXX and their parent company. 

I submitted a complaint previously because I also have private loans held by Navient that were used to attend the same school. Those loans should also be discharged, just like the federal loans. 

As a result of that prior complaint Navient sent me a School Misconduct Discharge application. Over XXXX weeks I spent countless hours and considerable effort gathering evidence and completing the application. 

Now, a month after submitting my application, I have received notice from Navient that they are denying my application. That denial was accompanied by an extremely unclear explanation. 

I have XXXX loans held by Navient and I am attaching all three denial letters. They are identical except for the loan number.",None,"Navient Solutions, LLC.",CA,94585,None,Consent provided,Web,06/26/24,Closed with explanation,Yes,N/A,9351099
06/05/24,Student loan,Private student loan,Dealing with your lender or servicer,Problem with customer service,"I sent a request to Navient for a XXXX XXXX XXXX XXXX. I was sent back a denial because "" Your loan type ( Refinance ) does not meet the criteria for you to receive an application. '' I have XXXX borrower defense applications with studentaid.gov that were approved. But I have yet to receive any relief because of the consolidation of my loans. 

I consolidated my loans because I could not afford the income driven repayments that were originally set by them. But because of that, I've been denied relief/discharge/refunds associated with both schools that I attended, XXXX XXXX and XXXX XXXX XXXX that have been a part of various court cases that resulted in all receiving full relief that I should be entitled to.",None,"Navient Solutions, LLC.",IN,46203,None,Consent provided,Web,06/05/24,Closed with explanation,Yes,N/A,9187777
04/22/24,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,"Was misled when I first applied XXXX. Both my school and Navient pushed us for getting this load and told us we would have no issues paying back that our payments would be low and affordable. Can't afford the large monthly payments over {$600.00} per month. I was able to get a lower payment program, however the low monthly payment does not go towards to the loan itself. With the interest rate the monthly payment doesn't pay off anything. I am basically paying Navient to not go after me. 

XXXX, Navient also temporarily sent my loans to XXXX and XXXX drained my bank account and started wage garnishment without notifying me. They say they have a signature from my XXXX, however I didn't have a husband. Nothing was signed or notified to me. I couldn't afford a lawyer to fight and advice from lawyers, was even though it was fraudulent, there was not way to legally prove it and I would spend too much money to lose XXXX",None,"Navient Solutions, LLC.",CA,92027,None,Consent provided,Web,04/22/24,Closed with explanation,Yes,N/A,8830159
04/14/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,,None,"Navient Solutions, LLC.",CA,91320,None,Consent not provided,Web,04/14/24,Closed with explanation,Yes,N/A,8767893
07/18/24,Student loan,Private student loan,Getting a loan,High pressure sales tactics or recruiting,Navient sent over the school misconduct application because the complaint sent said I meet the criteria to receive an application. After submitting information and evidence I am now being informed of my denial without facts or reasoning. Navient did not provide the specific criteria why I now don't receive a discharge or refund for school misconduct when I meet the criteria to receive an application. Please see below from Navient ; We have completed a review of your application and have determined your applicable private student loans are not eligible for discharge due to the following reason ( s ) : Navient carefully considers a variety of factors in determining whether a private loan should be discharged based on school misconduct and you do not meet the requirements for discharge based on misconduct by your school.,None,"Navient Solutions, LLC.",IL,60133,None,Consent provided,Web,07/18/24,Closed with explanation,Yes,N/A,9553471
05/01/24,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,We have won the Borrowers Defense case for federal loans and our school has shut down due to illegal practices and was a sham. Private loans should be dismissed as well.,None,"Navient Solutions, LLC.",CA,90066,None,Consent provided,Web,05/01/24,Closed with explanation,Yes,N/A,8903787
06/06/24,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,"Between XXXX and XXXX, I attended XXXX XXXX XXXX XXXX XXXX in XXXX, MA. I graduated there with a XXXX in XXXX XXXX XXXX, and learned a number of skills that were virtually useless in the workplace after graduation. The school lied about their job rates post graduation, and have been found to have been giving out predatory loans. 

While my loan balance in Navient is paid off, that only is the case because I have taken out a home equity loan in order to pay off the balances. So that money is now just rolled into a new piece of debt. I paid the school over {$80000.00} for fraudulent loans ( federal and private ), which I believe hurt my job prospects coming out of school. The skills I learned were almost entirely self-taught after college, and were not provided from the school. This caused me to get a sub-par job out of college earning a poor salary, and having to basically reset all my skills myself in order to ascend to better positions doing what I originally thought AI would provide me the skills for.",None,"Navient Solutions, LLC.",MA,02703,None,Consent provided,Web,06/06/24,Closed with explanation,Yes,N/A,9196755
04/23/24,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,"I went to the XXXX XXXX XXXX XXXX XXXX XXXX from XXXX to XXXX. I have XXXX XXXX XXXX  with Navient. I was XXXX XXXX XXXX and the XXXX XXXX and Navient preyed on me and my lack of knowledge of loans. I trusted that the department of education and the XXXX XXXX were giving me correct information and facts about my select program. After graduating from the XXXX XXXX I was unable to secure a job in my chosen field of XXXX XXXX. I interviewed with several companies for several years and was told my school did not have proper accreditations or that I needed a XXXX XXXX XXXX. The school never helped my find a job and Navient was there preferred lender. I feel that the school and Navient frauded me in believing I would have a solid career after graduation and also promoted high graduation rates which was not true. After trying to obtain employment for several years I had to move in XXXX because I couldn't afford to live in XXXX XXXX. 

The school did not offer a XXXX XXXX XXXX when I was a student and I was told that an XXXX XXXX was enough to secure a job in my chosen industry. Which was not true. Over the years I have tried to work with Navient on my loans and they refuse to work with me only offering me options of high payments that I could not afford or interest only payments. 

I became aware of the XXXXXXXX XXXX XXXXXXXX court case recently and the fact that Navient was court ordered to refund students who went to the XXXX XXXX because of the same issues I dealt with of being frauded by a for profit school. I was never approved for federal loans when I attended the XXXX XXXX and I believe the school and Navient preyed on my for private loans with higher interest rates. 

Navient has made it difficult for me since the pause on student loans was lifted. They have ruined my credit report causing me to lose out on financial opportunities, they have XXXX XXXX XXXX XXXX XXXX for money even though I have the same phone number and my name is listed on my voicemail, they still XXXX XXXX XXXX XXXX XXXX. They are calling my XXXX XXXX XXXX XXXX XXXX who live out of state and have nothing to do with these loans. 

I have tried to work out a agreement with them but they refuse to work with me on guidelines based on the XXXX XXXX  XXXX lawsuit. I believe entitled to the same relief as the XXXXXXXX XXXX XXXXXXXX class of injured plaintiffs. I was not aware of the lawsuit at the time of filing so I am not part of the lawsuit. 

These student loans have XXXX my life, they have XXXX me for almost 20 years. The XXXX of these loans and the financial restraint has caused me so much loss in my life. My XXXX XXXX is a cosigner and they are calling and XXXX  him as well. He is on XXXX XXXX with a limited income. They are from a for profit school ( XXXX XXXX ) that has been court ordered to repay AND refund former students. What I am asking for is reasonable and prudent. I made years of payments on these loans and I am asking for the balance to be XXXX. 

Navient has also been sued regarding these loans and over 30 state attorney generals have filed lawsuits. I am asking that they discharge my loans and cease and desist from XXXX XXXX XXXX XXXX XXXX 

In addition to Navient XXXX me on the private student loans, they are also pressuring my to take a high interest personal loan to pay for these student loans. After I would receive a phone call from a rep, I would get a email about applying for a personal loan or a HELOC loan. That is not right. In other words they want me to take out a personal high interest loan to pay for my high interest student loans. That should be illegal to XXXX people to take out multiple loans from one company.",None,"Navient Solutions, LLC.",NC,28792,None,Consent provided,Web,04/24/24,Closed with explanation,Yes,N/A,8837371
10/17/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,None,"Navient Solutions, LLC.",TX,77388,None,Consent not provided,Web,10/17/24,Closed with explanation,Yes,N/A,10470428
05/01/24,Student loan,Private student loan,Getting a loan,Confusing or misleading advertising,"The XXXX XXXX made pervasive and widespread substantial misrepresentations that borrowers relied on to their detriment. This conduct affected students who enrolled at the XXXX XXXX from XXXX XXXX, XXXX through XXXX XXXX, XXXX, when the campuses were sold to XXXX XXXX XXXX XXXX, XXXX. These misrepresentations related to the salaries and employment rates for its graduates and the benefits and connections The XXXX XXXX provided to students and graduates. Because of the pervasive and widespread nature of the misconduct by The XXXX XXXX, ED has determined that it is appropriate to discharge the loans made to all students who attended The XXXX XXXX during the time period described above",None,"Navient Solutions, LLC.",IL,60652,None,Consent provided,Web,05/01/24,Closed with explanation,Yes,N/A,8902808
05/12/24,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,"Thousands of students were scammed by Navient into taking out predatory private loans to attend for profit online schools such as the one I attended, the XXXX XXXX XXXX XXXX XXXX XXXX XXXX ) As a matter of fact, XXXX XXXX XXXX and their Parent company, XXXX were investigated by the attorneys general of several states and have been found to have acted in a fraudulent manner. 
Because of the numerous claims of fraud and misconduct perpetrated by XXXX XXXX XXXX XXXX XXXX XXXX has just announced a blanket discharge for anyone enrolled at XXXX XXXX XXXX  from XXXX XXXX XXXX XXXX XXXX XXXX XXXX 
My Federal loans in the amount of around XXXX including interest charged were discharged and my credit repaired. 
I am aware that Navient was sued by 39 state AGs regarding their predatory loans to attend these online for-profit schools and that Sallie Mae/Navient were a "" preferred '' lending company in a "" deal '' with these schools during the early XXXX XXXXThese private loans with a high risk of default were part of a package deal offered to "" for profit online schools '', but loans made to students in states outside of the agreement, or those who were not in default for 7 months or more during a "" specific '' time frame, were excluded. 
I am sure this was a big win for Navient, but what a sham of a settlement deal for the rest of borrowers scammed into taking loans to at least 150 for profit online schools. 
After the AG settlement, didn't Navient also get out of the Federal student loan business due to scrutiny from lawmakers and borrower advocates? 
Didn't Navient have to pay restitution to the Federal student loan borrowers for not informing students of IDR/IBR payments students could have enrolled in, but instead steered toward forbearance? 
Furthermore, hasn't Navient been sued at least a half dozen times for other predatory loan practices and illegal collection practices? 
I am also aware of a "" pilot '' program by which Navient is sending out "" applications '' to select students who may have filed Borrower Defense claims against their schools and were approved.

This application is a sham.

Why do we need to prove anything?

Navient knows who we are.

Under the FTC "" Holder Rule '' Navient is liable for giving predatory loans in connection with online for-profit schools. 
Time is running out for Navient to do right by students who were scammed into taking out private loans to attend online for profit colleges who have committed misconduct and misrepresented themselves to the public to entice students to enroll. 
Senator XXXX XXXX has sent a letter to Navient 's CEO asking to discharge these loans NOW! It's time Navient do the right thing and discharge all these predatory private loans made to attend online for profit schools NOW! 

Link to Senator XXXX XXXX  : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",None,"Navient Solutions, LLC.",OH,452XX,None,Consent provided,Web,05/12/24,Closed with explanation,Yes,N/A,8989993
08/09/24,Student loan,Private student loan,Getting a loan,High pressure sales tactics or recruiting,My school was shutdown and sued due to their misconduct. I have provided direct examples of this misconduct and the criminal activity that XXXX and Sallie Mae now Navient engaged in. My application for loan discharge due to school misconduct was denied.,None,"Navient Solutions, LLC.",NY,14120,None,Consent provided,Web,08/09/24,Closed with explanation,Yes,N/A,9758541
06/16/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,I made my monthly payment to Navient. My bank posted the payment on XX/XX/2024. Navient sent a notice of late payment on XX/XX/2024 stating my payment was not received. This is happening on a regular basis with Navient. It has happened at least 3 times within the last year. I am fed up with constantly having to upload copies of my canceled checks to prove payment was made.,None,"Navient Solutions, LLC.",AZ,857XX,None,Consent provided,Web,06/16/24,Closed with explanation,Yes,N/A,9274743
05/01/24,Student loan,Private student loan,Getting a loan,Confusing or misleading advertising,,None,"Navient Solutions, LLC.",IL,60651,None,Consent not provided,Web,05/01/24,Closed with explanation,Yes,N/A,8906222
05/06/24,Student loan,Private student loan,Struggling to repay your loan,Problem lowering your monthly payments,,None,"Navient Solutions, LLC.",MO,63301,None,Consent not provided,Web,05/06/24,Closed with explanation,Yes,N/A,8942744
10/11/24,Student loan,Private student loan,Getting a loan,Changes in terms mid-deal or after closing,"I XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX in XXXX. I was XX/XX/XXXX years old at the time and was ensured that the student loans I opened through XXXX XXXX were federally backed XXXX Loans that I was afforded as a Ward of the State. At some point the loans were transferred to Navient due to XXXX XXXX losing the right to service federal loans due to misconduct. At all points of communication, the loans were referred to as federally backed student loans. I have been a forward XXXX XXXX in the XXXX XXXX since XXXX and have not been stateside to directly deal with the loans and have been relying on online pay and communication with Navient. On XXXX XX/XX/XXXX, I received a notification from the Department of Education about Student Loan Discharge Based on XXXX XXXX XXXX. "" Your loan ( XXXX ) will be XXXX based on an XXXX finding that The XXXX XXXX made pervasive and widespread substantial misrepresentations that borrowers relied on to their detriment. '' When I contacted Navient about this release from the XXXX Department of Education in regard to the loans, I was told that the loans are considered private loans that I opened with Navient. At no point have I ever opened a private loan with Navient. I was then sent an application to submit with Navient to have my loans XXXX, which I submitted on XXXX XX/XX/XXXX. 

I received an email on XXXX XX/XX/XXXX that my loans are now being transferred to XXXX. Further research into the reasoning for the transfer is that Navient was barred from financing Federal Student Loans. 

Navient denied my discharge application on XXXX XX/XX/XXXX, however, gave no reason for the denial. I then called the number listed on the letter for the XXXX XXXX XXXX XXXX XXXX to speak with a representative about the denial. I confirmed with the person I was speaking that their office was the ones that made the determination on the letter sent. They refused to give reasoning for the denial and refused to send a copy of the original loan documentation they received from XXXX XXXX regarding my loans. My biggest contention with this process is that my loans were "" federal loans '' or "" federally backed '' when it best suited them and when a federal determination to discharge the loans due to misconduct was issued, now it is solely referred to as a private loan. Every single interaction I have with them they continue to refer to the loans as if I opened the loan with them directly. 

Now, XXXX XX/XX/XXXX, even after they informed me that my loan is transferred to XXXX, they called me saying I still need to pay them for my loans.",None,"Navient Solutions, LLC.",WA,98597,Servicemember,Consent provided,Web,10/11/24,Closed with explanation,Yes,N/A,10429245
06/19/24,Student loan,Federal student loan servicing,Struggling to repay your loan,Problem with your payment plan,,None,"Navient Solutions, LLC.",VA,23832,None,Consent not provided,Web,06/19/24,Closed with explanation,Yes,N/A,9295508
05/13/24,Student loan,Federal student loan servicing,Struggling to repay your loan,"Problem with forgiveness, cancellation, or discharge","Hello, I hope all is well. I know that on XX/XX/XXXX, Attorney General XXXX XXXX announced that nearly XXXX Pennsylvania students who attended XXXX XXXX XXXXXXXX between XXXX and XXXX will receive discharges of loan balances as part of a recent federal action to discharge more than {$6.00} XXXX in student loan debt nationwide. 

I XXXX  the XXXX XXXX XXXX XXXX from XXXX - XXXX. XXXX XXXX XXXX XXXX XXXX I signed up for whatever loans the XXXX XXXX told me to sign up for. It was a struggle, but I have since paid off all of my onerous loans ( selling my house to do so ). 

Please help me get a refund of all the money I paid to this fraudulent institution. I thought it was a legitimate college, since I could get Federal loans approved to attend. However, I'm now being told that I will not get any help based on the type of loan I had signed when I was just XXXX XXXX XXXX. 

Please help. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX PA XXXX",None,"Navient Solutions, LLC.",PA,152XX,None,Consent provided,Web,05/13/24,Closed with explanation,Yes,N/A,8997238
04/03/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,,None,"Navient Solutions, LLC.",RI,02886,None,N/A,Referral,04/15/24,Closed with explanation,Yes,N/A,8776522
02/05/24,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,"In reviewing my current loan balance of just over {$9000.00} to date, the interest rate has ballooned over the years to XXXX XXXX 

My first loan was taken out XX/XX/XXXX with an origination amount of {$4400.00}. I have since paid {$12000.00} in accrued interest with a current balance of {$3300.00}. My interest rate is currently XXXX XXXX. I still have an estimated XXXX years of repayment before it is satisfied in full. 

My second loan was taken out XX/XX/XXXX with an origination amount of {$7500.00}. I have since paid {$18000.00} in accrued interest with a current balance of {$5600.00}. My interest rate is currently XXXX XXXX. I still have an estimated XXXX  years of repayment before its satisfied in full. 

My current XXXX XXXX is XXXX. I have a good repayment status over the decades I have pretty much paid towards interest. This is nothing short of predatory. For decades I was a victim of circumstance struggling with underemployment due to systemic discrimination in the corporate workplace. Navient has contributed to the nations ongoing issue with consumer debt and needs to be held accountable.",None,"Navient Solutions, LLC.",TX,77429,None,Consent provided,Web,02/05/24,Closed with explanation,Yes,N/A,8288212
01/01/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Need information about your loan balance or loan terms,I have requested original loan documents I have never received,None,"Navient Solutions, LLC.",AK,99502,None,Consent provided,Web,01/01/24,Closed with explanation,Yes,N/A,8088701
09/26/24,Student loan,Private student loan,Incorrect information on your report,Public record information inaccurate,,None,"Navient Solutions, LLC.",OR,97045,None,None,Web,09/26/24,Closed with explanation,Yes,N/A,10252200
09/15/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,None,"Navient Solutions, LLC.",IL,60467,None,Consent not provided,Web,09/15/24,Closed with explanation,Yes,N/A,10130630
05/03/24,Student loan,Private student loan,Getting a loan,High pressure sales tactics or recruiting,"On XX/XX/year>, the court granted preliminary approval for federal loan cancellation and refunded payments for class members who applied for the Borrower Defense to Repayment. The class action lawsuit : XXXXXXXX XXXX  XXXX, which is involving predatory and fraudulent for-profit colleges such as the one I attended ( XXXX XXXX XXXX XXXX XXXX XXXX proves without a doubt that we have absolutely and massively scammed and ripped off for XXXX  if not XXXX XXXX XXXX XXXX XXXX per applicant. It's wonderful news hearing we have received preliminary approval, but we need to also take a look at the private loans borrowers have taken out to attend these scam schools. Many of us have even more debt in private loans than federal loans, and we are still expected to pay it despite overwhelming evidence of fraud, mishandlings, losing payment records, deceit and other criminal activity involving our loans and payments. We need to take action while this issue is in the spotlight, to have these private loans discharged in addition to the federal student loans. Loan balances through companies such as Navient, XXXX, XXXX XXXX and loan companies used for consolidation purposes should all be cancelled and refunded if those loans are taken out for a university on the list of fraudulent schools from the XXXXXXXX XXXX XXXXXXXX case XXXX ''",None,"Navient Solutions, LLC.",PA,19150,None,Consent provided,Web,05/03/24,Closed with explanation,Yes,N/A,8927269
07/21/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,,None,"Navient Solutions, LLC.",CA,91730,None,Consent not provided,Web,07/21/24,Closed with explanation,Yes,N/A,9574504
06/03/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Problem with customer service,My school loans were part of the XXXX XXXX XXXX settlement and have been discharged. But I am yet to receive a refund from my service are Navient. I believe that deadline is approaching and they are being difficult.,None,"Navient Solutions, LLC.",PA,XXXXX,None,Consent provided,Web,06/03/24,Closed with explanation,Yes,N/A,9161547
07/11/24,Student loan,Private student loan,Getting a loan,Qualified for a better loan than the one offered,"I experienced high-pressure sales techniques ( calling several times a day ) to enroll in the XXXX XXXX XXXX XXXX and take out student loans, although it was never made clear to me exactly how much i was taking out. In addition, i qualified for more federal student loans, but i was told that i didn't qualify, and would have to take out a private loan with Navient ( Sallie Mae at the time ) to get the money i needed for school. Some of the loans i got with a co-signer and received a lower variable interest rate, but the following year I was instructed try to take out on my own, and i received a 12 % interest rate. 

I was told that i was at my max for federal student loans ( not true ) at a lower interest rate. I also was lead to believe that Navient was my only option. I was the only person in my family to go to college -- i didn't have someone with experience to guide me. 

Moreover, the financial aid advisor at the school took the entrance and exit financial aid counseling exam for me -- he said it was common sense stuff and he quickly clicked through the information while i sat at another table. 

After struggling for years to pay the money back, accruing thousands of dollars in interest, I was finally able to refinance the funds under another lender for a lower interest rate. 
I was truly naive. I thought schools always had the best interest for their students in mind so i didn't think twice about it. I was wrong.",None,"Navient Solutions, LLC.",IA,52803,None,Consent provided,Web,07/11/24,Closed with explanation,Yes,N/A,9486844
05/06/24,Student loan,Private student loan,Getting a loan,High pressure sales tactics or recruiting,,None,"Navient Solutions, LLC.",OH,45011,None,Consent not provided,Web,05/06/24,Closed with explanation,Yes,N/A,8944106
04/16/24,Student loan,Private student loan,Struggling to repay your loan,Problem lowering your monthly payments,,None,"Navient Solutions, LLC.",PA,15129,None,Consent not provided,Web,04/16/24,Closed with explanation,Yes,N/A,8773218
06/07/24,Student loan,Private student loan,Dealing with your lender or servicer,Need information about your loan balance or loan terms,,None,"Navient Solutions, LLC.",MD,20737,None,Consent not provided,Web,06/07/24,Closed with explanation,Yes,N/A,9191796
09/19/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,I applied for private student loan forgiveness XX/XX/year> and almost two months later the company ( navient ) denied my application with no reasons as to why I was denied.,None,"Navient Solutions, LLC.",AL,35810,None,Consent provided,Web,09/19/24,Closed with explanation,Yes,N/A,10168070
06/09/24,Student loan,Private student loan,Dealing with your lender or servicer,Need information about your loan balance or loan terms,"I filed a school misconduct application with Navient for my private student loan and they denied my application- even though my school ( XXXX  ) has been found over and over in multiple settlements and lawsuits ( one of which I am included in ) to have engaged in terrible practices and gross misconduct. 

The letter I got from Navient letting me know my application was denied has NO reason for the denial, just says this : Navient carefully considers a variety of factors in determining whether a private loan should be discharged based on school misconduct and you do not meet the requirements for discharge based on misconduct by your school. 

No explanation or reason was given by Navient. When I called, the rep was not able to give me an specific reason either.",None,"Navient Solutions, LLC.",AZ,85310,None,Consent provided,Web,06/09/24,Closed with explanation,Yes,N/A,9212330
10/06/24,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,,None,"Navient Solutions, LLC.",PA,19143,None,Consent not provided,Web,10/06/24,Closed with explanation,Yes,N/A,10363732
04/20/24,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,,None,"Navient Solutions, LLC.",LA,70030,None,Consent not provided,Web,04/20/24,Closed with explanation,Yes,N/A,8817669
08/21/24,Student loan,Private student loan,Struggling to repay your loan,Bankruptcy,"I previously submitted a complaint on XX/XX/XXXX, which stated that my debt should have been canceled because the loans were private student loans that were issued in excess of the cost of attendance ; thus, these loans are automatically discharged in bankruptcy. You replied that you were aware that I filed for bankruptcy in XXXX and that you were aware that there was a discharge but that you were not notified that the debt was included in the discharge. However, you were notified by the fact that you were notified that there was a discharge ; and as such, all debt, including private student loans that were disbursed in excess of cost of attendance are automatically discharged. Why was the debt not canceled at that time, if all debt are automatically discharged?

Second, last year, you reached a settlement in the Youssef v. Navient class action lawsuit. My name was on the list of members in the lawsuit. However, my debt was not canceled. Please explain why my debt was not canceled if I was one of the members in this class action lawsuit.",None,"Navient Solutions, LLC.",TX,750XX,None,Consent provided,Web,08/21/24,Closed with explanation,Yes,N/A,9878951
07/05/24,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,"XXXX requested to consider my loans for a reduced rate in XX/XX/XXXX, the rep advised she would put the information in to have some payment relief for the remaining 4 months of interest only. Which I didnt know at the time that the agent didnt add all the loans to this program. This is where Navinet makes a lot of its money ( purposely misallocating payments, and leaving out loans to attach late fees ) Obscured information consumers need to maintain their lower payments. 

XX/XX/XXXX My cosigner then received a letter advising that my loans were in default and advised me. I promptly called and the agent XXXX advised that not all my loans were added, and some were in default. I then advised rep that I didnt realize that the previous agent left some of the loans out of the program for reduced payments, as doing some research online this is a common practice with Navinet . Each month a payment was auto deducted, yet they leave out loans purposely. Rep advised to make a payment of {$150.00} to keep my account out of collections and in the interim to complete my documents for my in-school deferment ( which I requested on this call ). 

XX/XX/XXXX I received a collections call advising that my account was in default and that I would need to make another payment of {$150.00}, however, I tried to explain to Navinet agent and urged her to read the call notes from the previous call to confirm payment to this week. She advised I needed to make another payment that would keep me out of collections and to submit my in-school deferment letter. She then pressured me to get that letter in, I advised rep that I just received the letter on XXXX and it was a holiday and to allow some time with the holiday. Navinet then proceeded to call and harass my cosigner with collection letters and calls. I tried to have my mother removed from my account, however, they deceived me about the requirements to release my mother as a co-signer. 

I have made payments to Navinet every month, yet Navinet practiced fraudulent tactics of leaving accounts out to incur late fees along with payment misallocation. I expect some level of competency with this business. I am fed up with the illegal tactics Navinet uses to drain money out of borrowers. I want a full audit of my account to possibly move forward with some legal recourse. This is ridiculous for these types of predatory lenders getting away with. Ive been paying my student loans for the past 20 years or so, however, I can not get ahead with the fraudulent tactics they do. Ive been told putting myself on auto pay would reduce my loan interest, each time Ive inquired about that, no agent can tell me anything. Ive been on autopay even through the pandemic trying to maintain a good credit score even as tough as that was. Im just disgusted with the practices/tactics Navinet has been doing for the past couple decades.",None,"Navient Solutions, LLC.",CT,065XX,None,Consent provided,Web,07/05/24,Closed with explanation,Yes,N/A,9433670
09/21/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,None,"Navient Solutions, LLC.",NY,10552,None,Consent not provided,Web,09/21/24,Closed with explanation,Yes,N/A,10199460
07/15/24,Student loan,Private student loan,Dealing with your lender or servicer,Problem with customer service,,None,"Navient Solutions, LLC.",TX,78748,None,Consent not provided,Web,07/15/24,Closed with explanation,Yes,N/A,9516790
05/02/24,Student loan,Private student loan,Dealing with your lender or servicer,Problem with customer service,"I am writing to file a formal complaint against Navient due to a series of unfair, deceptive, and abusive acts and practices that have significantly impacted my financial stability and personal life. As a XXXX XXXX, these practices have also jeopardized my ability to maintain my security clearance, directly affecting my career And duty. 

1. Harassment and Coercive Practices : Navient has persistently made harassing phone calls demanding payment, despite my clear financial constraints. Their representatives have advised me to reduce my basic living expenses and even suggested that I borrow money from relatives to meet loan payments, showcasing a lack of consideration and ethical lending practices. 
2. Unreasonable Settlement Offers : On multiple occasions, Navient has pressured me to accept settlement offers that were not financially feasible. They presented these offers as once-in-a-lifetime opportunities, using high-pressure tactics to coerce acceptance. 
3. Invasion of Privacy : Navient has overstepped boundaries by contacting my family members without my consent, seeking personal information and payment towards my student loans. This not only breaches privacy norms but also places undue stress on my family relationships. 
4. Educational Institution Misconduct : I attended the XXXX XXXX XXXX XXXX XXXX from XXXX to XXXX, a school that has since been closed due to predatory and illegal practices. The loans for this institution, initially serviced by Sallie Mae and later by Navient, have been a source of continual struggle due to the deceptive circumstances under which they were promoted and agreed upon. 
5. Discharge Under BDTR : My federal loans have been discharged under the Borrower Defense to Repayment ( BDTR ) due to the recognized misconduct of my educational institution. However, the ongoing issues with Navient, including their handling of my remaining loans and their aggressive collection practices, continue to cause significant personal distress and financial instability. 

These actions by Navient represent a blatant disregard for borrower rights and protections that are expected from a federal loan servicer. Managing these loans under such aggressive and unethical tactics has not only financial implications but also potential long-term effects on my career in the military. 

I urge the CFPB to investigate these practices and to hold Navient accountable for their actions that are contrary to the principles of fair and ethical lending. 

Thank you for your attention to this matter. I look forward to your prompt response and resolution.",None,"Navient Solutions, LLC.",FL,336XX,Servicemember,Consent provided,Web,05/02/24,Closed with explanation,Yes,N/A,8902337
01/02/24,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,,None,"Navient Solutions, LLC.",FL,33781,None,Consent not provided,Web,01/02/24,Closed with explanation,Yes,N/A,8089219
09/22/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,Navient misled me as a borrower. By providing inaccurate information regarding my income driven repayment plan option. Navient also incorrectly processed my payment and misled me about improving my credit score.,None,"Navient Solutions, LLC.",PA,19120,None,Consent provided,Web,11/26/24,Closed with explanation,Yes,N/A,10207343
